Designator,Footprint,Quantity,Value,Mouser part #,1 pcs., 10 pcs. , 100 pcs. 
B1,CMI9605IC0580T,1,Passive buzzer,81-PKM13EPYH4002-B0, 1.68  PLN , 1.20  PLN , 1.09  PLN 
Brd1,128x64OLED_V2,1,SSD1306,-, 5.63  PLN , 5.63  PLN , 5.63  PLN 
"C1, C11, C12, C13, C14, C2, C5, C9",603,8,1uF,581-06036C105MAT2A, 0.43  PLN , 0.26  PLN , 0.12  PLN 
"C10, C17, C3, C4, C6, C7",603,6,10uF,581-0603YD106KAT2A, 0.99  PLN , 0.67  PLN , 0.38  PLN 
"C15, C16",603,2,4.7uF,603-CC603KRX5R7BB475, 0.82  PLN , 0.57  PLN , 0.29  PLN 
"C18, C19",603,2,22uF,581-KAM15BR71E224KT, 0.65  PLN , 0.50  PLN , 0.26  PLN 
C8,603,1,0.1uF,581-06035C104KAT2A, 0.43  PLN , 0.14  PLN , 0.08  PLN 
"D1, D26, D27",805,3,LED,749-SM0805PGC, 3.06  PLN , 2.02  PLN , 1.34  PLN 
"D14, D15, D16, D19, D20, D21",D_SOD-323,6,SD15_SOD323,576-SD15-01FTG, 1.33  PLN , 1.06  PLN , 0.70  PLN 
"D17, D18",2114,2,D_Schottky,750-CDBA2200-HF, 2.19  PLN , 1.74  PLN , 1.11  PLN 
"D23, D24, D25",D_SOD-923,3,ESD9B3.3ST5G,-, 0.52  PLN , 0.52  PLN , 0.52  PLN 
"D28, D29, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39",D_SOD-123,12,D_Small,621-1N4148WS-F, 0.73  PLN , 0.43  PLN , 0.20  PLN 
IC1,TPS61023,1,TPS61023DRLT,595-TPS61023DRLT, 5.09  PLN , 4.30  PLN , 2.89  PLN 
J1,XY2500R-DS(5.08)-02V,1,Screw_Terminal_01x02,490-TB002-500-02BE, 1.94  PLN , 0.91  PLN , 0.87  PLN 
"J2, J3",GCT_USB4105-GF-A,2,USB4105-GF-A,640-USB4105-GF-A, 3.44  PLN , 2.78  PLN , 2.42  PLN 
J4,microSD_HC_Hirose_DM3D-SF,1,Micro_SD_Card_Det_Hirose_DM3AT,798-DM3AT-SF-PEJM540, 13.33  PLN , 11.25  PLN , 10.74  PLN 
L1,L_Bourns_SRP1038C_10.0x10.0mm,1,1uH,652-SRP5020CC-1R0M, 5.19  PLN , 4.82  PLN , 2.67  PLN 
"Q1, Q2",SOT-23,2,BC817,583-BC817, 1.00  PLN , 0.70  PLN , 0.44  PLN 
"R1, R16",805,2,100k,279-CRGCQ0805J100K, 0.43  PLN , 0.09  PLN , 0.04  PLN 
"R10, R11, R13, R14, R15, R8",603,6,10k,603-RC0603FR-0710KL, 0.43  PLN , 0.05  PLN , 0.03  PLN 
R12,805,1,732k,71-CRCW0805732KFKEA, 0.43  PLN , 0.14  PLN , 0.07  PLN 
"R17, R9",603,2,1k,652-CR0603FX-1001ELF, 0.43  PLN , 0.04  PLN , 0.02  PLN 
R18,805,1,680,603-RC0805FR-13680RL, 0.43  PLN , 0.07  PLN , 0.04  PLN 
R19,603,1,200,603-AF0603JR-07200RL, 0.43  PLN , 0.07  PLN , 0.04  PLN 
R2,805,1,2k,652-CR0805AFX2001EAS, 0.43  PLN , 0.10  PLN , 0.08  PLN 
R20,603,1,220,279-CRGCQ0603F220R, 0.43  PLN , 0.07  PLN , 0.04  PLN 
"R21, R6",603,2,4k7,71-CRCW0603-4.7K-E3, 0.43  PLN , 0.08  PLN , 0.04  PLN 
"R22, R23",805,2,56k,603-RC0805FR-0756KL, 0.43  PLN , 0.07  PLN , 0.04  PLN 
R3,805,1,20k,603-RC0805FR-1320KL, 0.43  PLN , 0.07  PLN , 0.04  PLN 
R4,805,1,470,279-CRGCQ0805J470R, 0.43  PLN , 0.06  PLN , 0.04  PLN 
R5,603,1,22.1k,71-CRCW0603-22.1K-E3, 0.43  PLN , 0.07  PLN , 0.04  PLN 
R7,603,1,47.5k,71-CRCW0603-47.5K-E3, 0.43  PLN , 0.07  PLN , 0.04  PLN 
RV1,PTA30432010CIB102,1,R_Potentiometer_Small,652-PTA3432010CIB102, 8.29  PLN , 7.27  PLN , 5.97  PLN 
S2,EG1206A,1,WS-SLSU_Slide_Switch,612-EG1206A, 3.14  PLN , 2.78  PLN , 2.58  PLN 
"SW1, SW2",RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm,2,RotaryEncoder,688-EC12E1220813, 7.96  PLN , 7.96  PLN , 7.96  PLN 
SW25,SW_PUSH_6mm,1,SW_RST,179-TS026660BK160LCR, 0.43  PLN , 0.42  PLN , 0.40  PLN 
"SW26, SW27, SW28, SW32, SW33, SW34, SW38, SW39, SW40, SW44, SW45, SW46",MX1A-E1NW cherry mx blue rgb,12,Cherry_MX,540-MX1A-G1NA, 6.75  PLN , 6.11  PLN , 5.23  PLN 
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,356-EP32S3WROOM1N8R8, 15.60  PLN , 15.60  PLN , 15.60  PLN 
"U10, U11, U12, U13, U14, U27, U4, U5, U6, U7, U8, U9",SK6812MINI-E,12,SK6812MINI-E,-, 0.28  PLN , 0.28  PLN , 0.28  PLN 
U15,SOT-23-5,1,MCP73832-2-OT,579-MCP73832T2DFI/OT, 3.14  PLN , 4.11  PLN , 2.75  PLN 
U2,TLV75901PDRVT,1,TLV75901PDRVT,595-TLV75901PDRVT, 5.23  PLN , 4.44  PLN , 3.01  PLN 
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-A01-GQFN24,634-CP2102NA02GQFN24, 17.04  PLN , 15.37  PLN , 13.24  PLN 
